Shelter Name,Shelter Id,FEMA Declaration #,ARC DRO #,Incident #,Shelter Status,Shelter Agency Type,Shelter Address,City,County/Parish,State,Zip,Open Date,Close Date,Shelter Evacuation Capacity,Shelter Post Impact Capacity,Population Period,9/7/17,9/8/17,9/9/17
Brandon High School,66881,,41418,,Open,ARC Managed,1101 Victoria Street,BRANDON,HILLSBOROUGH,FL,33510,9/9/17 0:00,,721,0,,,,
STRAWBERRY CREST HIGH SCHOOL,78645,,41418,,Open,ARC Managed,4691 Gallagher Rd,DOVER,HILLSBOROUGH,FL,33527,9/9/17 0:00,,587,0,,,,
Strawberry Crest High School-SPECIAL NEEDS,164457,,41418,,Open,Independent,4691 Gallagher Rd,DOVER,HILLSBOROUGH,FL,33527,9/9/17 2:00,,250,0,,,,
HAMMOND ELEMENTARY SCHOOL,66883,,41418,,Open,ARC Managed,8008 North Mobley Rd,ODESSA,HILLSBOROUGH,FL,33556,9/9/17 22:00,,1306,0,,,,
SIMMONS CAREER CENTER,14758,,41418,,Open,ARC Managed,1202 W GRANT ST,PLANT CITY,HILLSBOROUGH,FL,33566,9/9/17 22:00,,399,0,,,,
SESSUMS ELEMENTARY SCHOOL,15463,,41418,,Open,ARC Managed,11525 RAMBLE CREEK DR,RIVERVIEW,HILLSBOROUGH,FL,33569,9/8/17 8:00,,1564,0,,,,
SUMMERFIELD CROSSINGS ELEMENTARY SCHOOL,66885,,41418,,Open,ARC Managed,11050 Fairway Meadows Drive,RIVERVIEW,HILLSBOROUGH,FL,33569,9/9/17 0:00,,1751,0,,,,
SHIELDS MIDDLE SCHOOL,1086,,41418,,Open,ARC Managed,15732 Beth Shields Way,RUSKIN,HILLSBOROUGH,FL,33573,9/8/17 15:00,,1972,0,,,,
Cypress Creek Elementary,164831,,41418,,Open,Independent,4040 19th ave ne,RUSKIN,HILLSBOROUGH,FL,33570,9/9/17 22:00,,300,300,,,,
Sheilds Middle,164834,,41418,,Open,Independent,15732 Beth Shields Ways,RUSKIN,HILLSBOROUGH,FL,33570,9/9/17 0:00,,300,300,,,,
BURNETT MIDDLE SCHOOL-PET,19597,,41418,,Open,ARC Managed,1010 N KINGSWAY RD,SEFFNER,HILLSBOROUGH,FL,33584,9/8/17 8:00,,1518,0,Noon,,,445
CHILES ELEMENTARY SCHOOL,18267,,41418,,Open,ARC Managed,16541 TAMPA PALMS BLVD,TAMPA,HILLSBOROUGH,FL,33647,9/8/17 15:00,,1662,0,,,,
GRECO MIDDLE SCHOOL,19600,,41418,,Open,ARC Managed,6925 E FOWLER AVE,TAMPA,HILLSBOROUGH,FL,33617,9/9/17 0:00,,437,0,,,,
MIDDLETON HIGH SCHOOL,19674,,41418,,Open,ARC Managed,4801 N 22ND ST,TAMPA,HILLSBOROUGH,FL,33610,9/9/17 22:00,,1919,0,,,,
PIZZO ELEMENTARY SCHOOL,19678,,41418,,Open,ARC Managed,11701 BULL RUN DR,TAMPA,HILLSBOROUGH,FL,33617,9/8/17 6:00,,1285,0,,,,
BARTELS MIDDLE SCHOOL,56723,,41418,,Open,ARC Managed,9020 Imperial Oak Blvd,TAMPA,HILLSBOROUGH,FL,33647,9/8/17 15:00,,1572,0,,,,
Smith SGT. Paul Middle,164832,,41418,,Open,Independent,14303 Citrus Pointe Dr,TAMPA,HILLSBOROUGH,FL,33602,9/9/17 0:00,,300,300,,,,
USF Sundome,164833,,41418,,Open,Independent,4201 Fowler,TAMPA,HILLSBOROUGH,FL,33602,9/9/17 0:00,,300,300,,,,
VALRICO ELEMENTARY SCHOOL,22348,,41418,,Open,ARC Managed,609 S MILLER RD,VALRICO,HILLSBOROUGH,FL,33594,9/9/17 0:00,,535,0,,,,
Bonifay Middle School,164824,,41418,,Open,ARC Managed,401 McLaughlin Ave,BONIFAY,HOLMES,FL,32425,9/8/17 18:00,,500,250,,,,
Fellsmere Elementary School,10873,,41418,,Stand-by/Alert,ARC Managed,50 N Cypress St,FELLSMERE,INDIAN RIVER,FL,32948,,,600,0,,,,
Sebastian River Middle School,19691,,41418,,Stand-by/Alert,ARC Managed,9400 Fellsmere Rd,SEBASTIAN,INDIAN RIVER,FL,32958,,,722,0,,,,
Treasure Coast Elementary Special Needs,68890,,41418,,Stand-by/Alert,Independent,8955 85th Street,SEBASTIAN,INDIAN RIVER,FL,32958,,,582,0,,,,
Oslo Middle School,5733,,41418,,Stand-by/Alert,ARC Managed,480 20th Ave SW,VERO BEACH,INDIAN RIVER,FL,32962,,,2063,0,,,,
Vero Beach Freshman Learning Center,11021,,41418,,Stand-by/Alert,ARC Managed,1507 19th ST,VERO BEACH,INDIAN RIVER,FL,32960,,,1499,0,,,,
Liberty Magnet School (Pet Shelter),136356,,41418,,Open,ARC Managed,6850 81st Street,VERO BEACH,INDIAN RIVER,FL,32967,9/8/17 22:00,,184,0,,,,
Marianna High School,164819,,41418,,Open,ARC Managed,3546 caverns rd,MARIANNA,JACKSON,FL,32446,9/8/17 13:00,,500,250,,,,
Somerset Academy (formerly Jefferson County HS),5432,,41418,,Open,ARC Managed,50 David Road,MONTICELLO,JEFFERSON,FL,32344,9/8/17 17:00,,0,809,,,,
New Hope Baptist Church of Lafayette,163683,,41418,,Open,ARC Managed,1370 N State Road 51,MAYO,LAFAYETTE,FL,32066,9/7/17 18:00,,0,154,Noon,,,38
Astatula Elementary School,153812,,41418,,Open,ARC Managed,13925 Florida Ave.,ASTATULA,LAKE,FL,34705,9/9/17 8:00,,0,160,,,,
Lost Lake Elementary,76093,,41418,,Open,ARC Managed,1901 Johns Lake Rd,CLERMONT,LAKE,FL,34711,9/8/17 7:00,,303,0,,,,
VILLAGES ELEMENTARY SCHOOL OF LADY LAKE,19487,,41418,,Open,ARC Managed,696 ROLLING ACRES RD,LADY LAKE,LAKE,FL,32159,9/9/17 20:00,,100,0,Noon,,,0
Leesburg Elementary School Special Needs,68891,,41418,,Open,ARC Managed,2229 South Street,LEESBURG,LAKE,FL,34748,9/8/17 19:00,,135,0,,,,
Treadway Elementary,76095,,41418,,Open,ARC Managed,10619 Treadway School Rd,LEESBURG,LAKE,FL,34788,9/8/17 10:00,,695,0,,,,
Mascotte Charter Elementary,153813,,41418,,Open,ARC Managed,460 MIdway Ave.,MASCOTTE,LAKE,FL,34753,9/8/17 22:00,,100,0,,,,
Round Lake Charter Elementary,70065,,41418,,Open,ARC Managed,31333 Round Lake,MOUNT DORA,LAKE,FL,32756,9/8/17 22:00,,150,0,,,,
Spring Creek Charter Elementary,153846,,41418,,Open,ARC Managed,44440 Spring Creek Rd.,PAISLEY,LAKE,FL,32767,9/8/17 22:00,,150,0,,,,
Umatilla Elementary School Special Needs,68893,,41418,,Open,Independent,401 Lake Street,UMATILLA,LAKE,FL,32784,9/9/17 8:00,,295,0,,,,
Island Coast High School,69978,,41418,,Open,Independent,2125 De Navarra Pkwy,CAPE CORAL,LEE,FL,33909,9/8/17 12:00,,2500,1250,,,,
Germain Arena,15485,,41418,,Open,Independent,11000 EVERBLADES PKWY,ESTERO,LEE,FL,33928,9/9/17 10:30,,5563,4300,Noon,,,0
Estero Community Center,19701,,41418,,Open,Independent,9200 Corkscrew Palms Blvd.,ESTERO,LEE,FL,33928,9/8/17 12:00,,1500,750,,,,
South Fort Myers High School,15350,,41418,,Open,Independent,14020 Plantation Road,FORT MYERS,LEE,FL,33912,9/8/17 12:00,,2000,1000,,,,
Alico Arena,19722,,41418,,Open,ARC Managed,12181 FGCU Lake Parkway E,FORT MYERS,LEE,FL,33913,9/9/17 10:00,,1600,800,Noon,,,0
Oak Hammock Middle School,135751,,41418,,Stand-by/Alert,ARC Managed,5321 Tice Street,FORT MYERS,LEE,FL,33905,,,700,250,Noon,,0,
Varsity Lakes Middle School,14806,,41418,,Open,ARC Partner,801 GUNNERY RD N,LEHIGH ACRES,LEE,FL,33971,9/8/17 9:00,,1500,750,,,,
East Lee High School,136027,,41418,,Open,ARC Managed,715 Thomas Sherwin Ave S,LEHIGH ACRES,LEE,FL,33974,9/7/17 14:00,,2600,1300,,,,
Harns Marsh Middle School,158569,,41418,,Open,Independent,1820 Unice Ave N.Lehigh Acres,LEHIGH ACRES,LEE,FL,33971,9/8/17 12:00,,1525,0,,,,
East High School,164837,,41418,,Open,Independent,715 Thomas Sherwin Ave,LEHIGH ACRES,LEE,FL,33971,9/9/17 0:00,,300,300,,,,
Canopy Oaks Elementary School,6093,,41418,,Stand-by/Alert,ARC Managed,3250 Point View Dr,Tallahassee,Leon,FL,32303,,,323,161,,,,
Oak Ridge Elementary School,6056,,41418,,Stand-by/Alert,ARC Managed,4350 SHELFER RD,TALLAHASSEE,LEON,FL,32310,9/9/17 0:00,,300,0,,,,
Bronson Middle School,14729,,41418,,Open,ARC Partner,1 Eagle Dr,BRONSON,LEVY,FL,32621,9/9/17 8:00,,0,90,,,,
Bronson Elementary School,14767,,41418,,Open,ARC Managed,400 Ishie Ave,BRONSON,LEVY,FL,32621,9/8/17 16:00,,1039,0,,,,
Bronson Elementary School Special Needs,70149,,41418,,Open,Independent,400 Ishie Ave,BRONSON,LEVY,FL,32621,9/9/17 8:00,,1039,519,,,,
Bronson High School,141100,,41418,,Open,ARC Partner,351 Ishie Ave,BRONSON,LEVY,FL,32621,9/9/17 8:00,,0,183,,,,
WILLISTON HIGH SCHOOL,18223,,41418,,Open,ARC Partner,427 W NOBLE AVE,WILLISTON,LEVY,FL,32696,9/9/17 8:00,,218,109,,,,
WILLISTON MIDDLE SCHOOL,19289,,41418,,Open,ARC Partner,20550 NE 42ND PL,WILLISTON,LEVY,FL,32696,9/9/17 8:00,,0,188,,,,
W. R. Tolar Elementary,6076,,41418,,Stand-by/Alert,ARC Managed,15629 NW CR 12,BRISTOL,LIBERTY,FL,32321-3684,,,115,0,,,,
New Testament Christian Center,6087,,41418,,Open,ARC Managed,2558 US HWY 90 E,MADISON,MADISON,FL,32341,9/8/17 12:00,,110,0,,,,
ROBERT H. PRINE ELEMENTARY,14764,,41418,,Open,ARC Managed,3801 SOUTHERN PKWY W,BRADENTON,MANATEE,FL,34205,9/8/17 14:00,,1781,898,Noon,,0,
Bayshore Elementary School,14773,,41418,,Open,ARC Managed,6120 26th St W,BRADENTON,MANATEE,FL,34207,9/8/17 12:00,,1413,858,Noon,,12,
Braden River High School,14810,,41418,,Open,ARC Managed,6545 State Rd 70 E,BRADENTON,MANATEE,FL,34203,9/8/17 12:00,,2099,1057,Noon,,19,
Nolan Middle School Special Needs,15720,,41418,,Stand-by/Alert,Independent,6615 GREENBROOK BLVD,BRADENTON,MANATEE,FL,34202,9/8/17 10:00,,571,0,Noon,,0,
FREEDOM ELEMENTARY SCHOOL,18268,,41418,,Open,ARC Managed,9515 E STATE RD 64,BRADENTON,MANATEE,FL,34212,9/8/17 12:00,,1506,852,Noon,,2,
LEE MIDDLE SCHOOL,18270,,41418,,Open,ARC Managed,4000 53RD AVE West,BRADENTON,MANATEE,FL,34210,9/8/17 14:00,,1177,713,Noon,,0,
GILBERT W MCNEAL ELEMENTARY SCHOOL,18271,,41418,,Open,ARC Managed,6325 LORRAINE RD,BRADENTON,MANATEE,FL,34202,9/8/17 14:00,,1407,824,Noon,,0,
Braden River Middle School,19725,,41418,,Open,ARC Managed,6215 River Club Blvd,BRADENTON,MANATEE,FL,34202,9/8/17 14:00,,499,501,Noon,,0,
MANATEE HIGH SCHOOL,19729,,41418,,Open,ARC Managed,902 33rd street court west,BRADENTON,MANATEE,FL,34205,9/8/17 12:00,,975,773,Noon,,6,
ONECO ELEMENTARY SCHOOL,19731,,41418,,Open,ARC Managed,5214 22nd Street Court E,BRADENTON,MANATEE,FL,34203,9/8/17 22:00,,1233,683,,,,
SEA BREEZE ELEMENTARY SCHOOL,19733,,41418,,Open,ARC Managed,3601 71ST ST W,BRADENTON,MANATEE,FL,34209,9/8/17 22:00,,972,776,,,,
GENE WITT ELEMENTARY SCHOOL,19735,,41418,,Open,ARC Managed,200 RYE RD E,BRADENTON,MANATEE,FL,34218,9/8/17 22:00,,480,640,,,,
LOUISE JOHNSON MIDDLE SCHOOL,22581,,41418,,Open,ARC Managed,2121 26TH AVE E,BRADENTON,MANATEE,FL,34208,9/8/17 14:00,,1693,1115,Noon,,0,
ROBERT WILLIS ELEMENTARY SCHOOL,50723,,41418,,Open,ARC Managed,14705 THE MASTERS AVE,BRADENTON,MANATEE,FL,34202,9/8/17 10:00,,1357,1007,,,,
JESSE P. MILLER ELEMENTARY,59670,,41418,,Stand-by/Alert,ARC Managed,601 43rd Street West,BRADENTON,MANATEE,FL,34205,,,1267,1036,,,,
GULLETT ELEMENTARY SCHOOL,59671,,41418,,Open,ARC Managed,12125 44th Ave E,BRADENTON,MANATEE,FL,34211,9/8/17 12:00,,2607,1948,Noon,,25,
ROGERS GARDEN ELEMENTARY SCHOOL,75235,,41418,,Open,ARC Managed,515 13th Avenue West,BRADENTON,MANATEE,FL,34205,9/8/17 22:00,,1104,755,,,,
DAUGHTREY ELEMENTARY SCHOOL,75236,,41418,,Open,ARC Managed,515 63rd Avenue East,BRADENTON,MANATEE,FL,34203,9/8/17 14:00,,1152,691,Noon,,0,
Nolan Middle School - Special Needs,161870,,41418,,Open,Independent,6615 Green Brook Blvd,BRADINGTON,MANATEE,FL,34211,9/9/17 2:00,,100,0,,,,
CARLOS HAILE MIDDLE SCHOOL,19726,,41418,,Open,ARC Managed,9501 E STATE RD 64,LAKEWOOD RANCH,MANATEE,FL,34212,9/8/17 12:00,,1354,817,Noon,,11,
MYAKKA CITY ELEMENTARY SCHOOL,18272,,41418,,Open,ARC Managed,37205 MANATEE AVE,MYAKKA CITY,MANATEE,FL,34251,9/8/17 12:00,,226,113,Noon,,7,
VIRGIL MILLS ELEMENTARY SCHOOL,15059,,41418,,Open,ARC Managed,7200 69TH ST E,PALMETTO,MANATEE,FL,34221,9/8/17 12:00,,2395,1211,Noon,,20,
TILLMAN ELEMENTARY SCHOOL,19734,,41418,,Open,ARC Managed,1415 29TH ST E,PALMETTO,MANATEE,FL,34221,9/8/17 22:00,,1121,686,,,,
Buffalo Creek Middle School,59669,,41418,,Open,ARC Managed,7320 69th St E,PALMETTO,MANATEE,FL,34221,9/8/17 12:00,,2444,1222,Noon,,24,
WILLIAMS ELEMENTARY,59668,,41418,,Open,ARC Managed,3404 Fort Hamer Road,PARRISH,MANATEE,FL,34219,9/8/17 15:00,,1946,985,Noon,,0,
KINNAN ELEMENTARY SCHOOL,135742,,41418,,Open,ARC Managed,3415 Tallevast Rd.,SARASOTA,MANATEE,FL,34243,9/8/17 22:00,,1199,720,,,,
Port Salerno Elementary School,19542,,41418,,Stand-by/Alert,ARC Managed,3260 SE Lionel Terr,Stuart,Martin,FL,34997,,,1300,0,,,,
Warfield Elementary School,14814,,41418,,Open,ARC Managed,15261 SW 150th Street,INDIANTOWN,MARTIN,FL,34956,9/9/17 6:00,,500,0,,,,
Jensen Beach High School,18274,,41418,,Open,ARC Managed,2875 NW Goldenrod Rd,JENSEN BEACH,MARTIN,FL,34957,9/9/17 6:00,,3500,0,,,,
Hidden Oaks Middle School,19536,,41418,,Open,ARC Managed,2801 SW Martin Hwy,PALM CITY,MARTIN,FL,34990,9/9/17 6:00,,1500,750,,,,
Anderson Middle Special Needs,136563,,41418,,Open,Independent,7000 Atlantic Ridge Drive,STUART,MARTIN,FL,34994,9/9/17 6:00,,163,0,,,,
FIU COLLEGE OF BUSINESS COMPLEX,153303,,41118,,Open,ARC Managed,11200 SW 8th Street,FLORIDA INTERNATIONAL UNIV,MIAMI-DADE,FL,33199,9/7/17 14:45,,611,0,,,,
HIALEAH MS,153298,,41418,,Open,ARC Managed,6027 E 7 Avenue,HIALEAH,MIAMI-DADE,FL,33014,9/8/17 22:00,,1664,0,,,,
South Miami High School,1085,,41418,,Open,ARC Partner,6856 SW 53RD ST,MIAMI,MIAMI-DADE,FL,33155,9/6/17 17:00,,1005,0,Noon,9,390,
Doctor Michael Krop HS,5639,,41418,,Open,ARC Partner,1410 NE 215TH ST,MIAMI,MIAMI-DADE,FL,33179,9/8/17 14:00,,3327,0,Noon,,0,
North Miami Beach High School,5648,,41418,,Open,ARC Partner,1247 NE 167TH ST,MIAMI,MIAMI-DADE,FL,33162,9/8/17 12:00,,2630,0,Noon,69,650,
North Miami High School,5650,,41418,,Open,ARC Managed,13110 NE 8TH AVENUE,MIAMI,MIAMI-DADE,FL,33161,9/7/17 9:00,,1284,0,Noon,0,337,
Sunshine Pavilion at Tamiami Park,5660,,41418,,Stand-by/Alert,ARC Managed,10901 CORAL WAY,MIAMI,MIAMI-DADE,FL,33165,,,0,1,Noon,,0,
Florida International University,19420,,41418,,Open,ARC Managed,11200 SOUTH WEST 8TH STREET,MIAMI,MIAMI-DADE,FL,33165,9/7/17 14:45,,437,0,Noon,0,0,
Felix Varela High School,19438,,41418,,Open,ARC Managed,15255 SW 96TH ST,MIAMI,MIAMI-DADE,FL,33196,9/8/17 12:00,,2093,0,Noon,2,500,
Florida International University Special Needs,70171,,41418,,Open,Independent,University Park Campus,MIAMI,MIAMI-DADE,FL,33199,9/7/17 14:45,,197,0,Noon,0,,
Jorge Mas Canosa MS,70427,,41118,,Open,ARC Managed,500 SW 109 Avenue,MIAMI,MIAMI-DADE,FL,33174,9/8/17 12:00,,164,0,,,,
John Ferguson High School Special Needs,136112,,41418,,Open,Independent,15900 SW 56th St,MIAMI,MIAMI-DADE,FL,33185,9/7/17 23:30,,500,0,,,,
Hialeah Gardens HS,148401,,41418,,Open,ARC Managed,11700 NW HIALEAH GARDENS BLVD,MIAMI,MIAMI-DADE,FL,33178,9/8/17 22:00,,1911,0,,,,
Miami Central High School,148402,,41418,,Open,ARC Managed,1781 NW 95TH ST,MIAMI,MIAMI-DADE,FL,33147,9/8/17 10:00,,694,0,Noon,0,650,
Terra Environmenta Research Institute,148410,,41418,,Open,ARC Managed,11005 SW 84th STREET,MIAMI,MIAMI-DADE,FL,33173,9/7/17 9:00,,1072,0,Noon,0,560,
MIAMI DADE COUNTY EXPO FAIR CENTER,154219,,41418,,Open,ARC Managed,10901 CORAL WAY,MIAMI,MIAMI-DADE,FL,33165,9/6/17 17:00,,0,4300,Noon,10,10,
Miami-Dade Fairgrounds Fuchs Pavilion,164821,,41418,,Open,Independent,10901 SW 24th Street,MIAMI,MIAMI-DADE,FL,33165,9/6/17 17:00,,300,300,Noon,,190,
Miami Carol City High School,5642,,41418,,Open,ARC Managed,3422 NW 187TH ST,OPA LOCKA,MIAMI-DADE,FL,33056,9/8/17 15:40,,2131,0,Noon,0,173,
Gato Building,149298,,41418,,Stand-by/Alert,Independent,1100 Simonton St,KEY WEST,MONROE,FL,33040,,,200,0,,,,
Callahan Intermediate Building 1,39929,,41418,,Open,ARC Managed,2258 BALLPARK RD,CALLAHAN,NASSAU,FL,32011,9/8/17 15:00,,978,489,,,,
Callahan Middle School,139897,,41418,,Open,ARC Managed,450121 Old Dixie Hwy,CALLAHAN,NASSAU,FL,32011,9/8/17 18:00,,317,0,,,,
Bryceville Elementary School,141105,,41418,,Open,ARC Managed,6504 Church Road,CALLAHAN,NASSAU,FL,32011,9/8/17 20:40,,285,142,,,,
Hillard Elementary School Special Needs,70146,,41418,,Open,Independent,27568 Ohio Street,HILLIARD,NASSAU,FL,32046,9/8/17 18:00,,163,0,,,,
Shoal River Middle School,151637,,41418,,Open,ARC Managed,3200 Redstone Ave East,CRESTVIEW,OKALOOSA,FL,32539,9/8/17 17:00,,705,352,,,,
Everglades Elementary School,5881,,41418,,Open,Independent,3725 SE 8th St,OKEECHOBEE,OKEECHOBEE,FL,34974,9/9/17 22:00,,700,0,,,,
South Elementary School,5909,,41418,,Open,ARC Managed,2468 SW 7th Ave,OKEECHOBEE,OKEECHOBEE,FL,34974,9/8/17 12:00,,500,0,,,,
Edgewater High School,1486,,41418,,Stand-by/Alert,ARC Managed,3100 EDGEWATER DR,ORLANDO,ORANGE,FL,32804,,,554,0,,,,
MEMORIAL MIDDLE SCHOOL,1487,,41418,,Stand-by/Alert,ARC Managed,2220 W 29TH ST,ORLANDO,ORANGE,FL,32805,,,518,0,,,,
Horizon Middle School,5585,,41418,,Open,ARC Managed,2020 Ham Brown Rd,KISSIMMEE,OSCEOLA,FL,34741,9/9/17 8:00,,422,0,Noon,,,43
Kissimmee Middle School,5587,,41418,,Open,ARC Managed,2410 Dyer Blvd,KISSIMMEE,OSCEOLA,FL,34741,9/8/18 12:00,,433,0,Noon,,0,326
Celebration High School,15330,,41418,,Open,ARC Managed,1809 Celebration Blvd,KISSIMMEE,OSCEOLA,FL,34747,9/9/17 8:00,,482,0,Noon,,,46
Barney Veal Center,70011,,41418,,Open,ARC Managed,700 Generation Point,KISSIMMEE,OSCEOLA,FL,34744,9/8/17 12:00,,50,25,Noon,,0,123
Partin Settlement Elementary School Special Needs,70128,,41418,,Open,Independent,2434 Remington Blvd,KISSIMMEE,OSCEOLA,FL,34744,9/9/17 2:00,,100,0,,,,
Liberty High School,76606,,41418,,Open,ARC Partner,4250 Pleasant Hill Rd,KISSIMMEE,OSCEOLA,FL,34746,9/8/18 12:00,,431,0,Noon,,0,217
Harmony High School,1489,,41418,,Open,ARC Managed,3601 ARTHUR J GALLAGHER BLVD,SAINT CLOUD,OSCEOLA,FL,34771,9/8/17 22:00,,487,0,Noon,,0,147
Narcoossee Middle School,5588,,41418,,Open,ARC Managed,2700 N Narcoossee Rd,SAINT CLOUD,OSCEOLA,FL,34771,9/9/17 8:00,,300,0,Noon,,,65
Lake Shore Middle School,5896,,41418,,Stand-by/Alert,ARC Managed,425 W Canal St N,BELLE GLADE,PALM BEACH,FL,33430,9/9/17 6:00,,2001,0,,,,
Boca Raton High School,5889,,41418,,Open,ARC Managed,1501 NW 15th Ct,BOCA RATON,PALM BEACH,FL,33486,9/8/17 10:00,,3218,0,Noon,,650,
West Boca Raton High School,5936,,41418,,Open,ARC Managed,12811 Glades Rd,BOCA RATON,PALM BEACH,FL,33428,9/8/17 10:00,,3536,0,Noon,,286,
Boynton Beach Community High School,5890,,41418,,Open,ARC Managed,4975 Park Ridge Blvd,BOYNTON BEACH,PALM BEACH,FL,33426,9/8/17 10:00,,2075,0,Noon,,408,
Atlantic High School,15356,,41418,,Open,ARC Managed,2455 W Atlantic Ave,DELRAY BEACH,PALM BEACH,FL,33445,9/8/17 12:00,,5591,0,Noon,,339,
Independence Middle School,5895,,41418,,Open,ARC Managed,4001 Greenway Dr,JUPITER,PALM BEACH,FL,33458,9/8/17 10:00,,580,0,Noon,,541,
Park Vista Community High School,5935,,41418,,Open,ARC Managed,7900 Jog Rd,LAKE WORTH,PALM BEACH,FL,33467,9/8/17 12:00,,5520,0,Noon,,376,
West Boynton Recreation Center (Pet Friendly),5941,,41418,,Open,ARC Managed,6000 Northtree Blvd,LAKE WORTH,PALM BEACH,FL,33463,9/8/17 22:00,,240,0,,,,
John I Leonard High School,136210,,41418,,Open,ARC Managed,4701 10th Ave N.,LAKE WORTH,PALM BEACH,FL,33463,9/8/17 10:00,,4704,0,Noon,,810,
Seminole Ridge High School,5944,,41418,,Open,ARC Managed,4601 Seminole Pratt  Whitney,LOXAHATCHEE,PALM BEACH,FL,33470,9/8/17 15:00,,4049,0,Noon,,1300,
Pahokee Middle High School,149070,,41418,,Stand-by/Alert,ARC Managed,850 Larrimore Rd,PAHOKEE,PALM BEACH,FL,33476,9/9/17 6:00,,974,0,,,,
Palm Beach Gardens High School,136232,,41418,,Open,ARC Managed,4245 Holly Drive,PALM BEACH GARDENS,PALM BEACH,FL,33410,9/8/17 12:00,,5267,0,Noon,,836,
Palm Beach Central High School,5901,,41418,,Open,ARC Managed,8499 Forest Hill Blvd,WELLINGTON,PALM BEACH,FL,33411,9/8/17 12:00,,6168,0,Noon,,327,
Palm Beach Central High School Special Needs,70131,,41418,,Open,Independent,8499 West Forest Hill Blvd,WELLINGTON,PALM BEACH,FL,33414,9/8/17 22:00,,250,0,,,,
McLeod Bethune Elementary School,5897,,41418,,Open,ARC Managed,1501 Ave U,WEST PALM BEACH,PALM BEACH,FL,33404,9/8/17 10:00,,418,0,Noon,,305,
South Florida Fairgrounds Special Needs,5906,,41418,,Open,Independent,9067 SOUTHERN BLVD,WEST PALM BEACH,PALM BEACH,FL,33411,9/8/17 10:00,,550,0,Noon,,117,
West Gate Elementary School,5907,,41418,,Open,ARC Managed,1545 Loxahatchee Drive,WEST PALM BEACH,PALM BEACH,FL,33409,9/8/17 10:00,,473,0,Noon,,159,
Forest Hill High School,5943,,41418,,Open,ARC Managed,6901 Parker Ave,WEST PALM BEACH,PALM BEACH,FL,33405,9/7/17 12:00,,2191,0,Noon,,1004,
Centennial Middle School,15715,,41418,,Open,ARC Managed,38505 Centennial Rd,DADE CITY,PASCO,FL,33525,9/8/17 19:00,,705,0,,,,
PASCO MIDDLE SCHOOL,143205,,41418,,Open,ARC Managed,13925 14th Street,DADE CITY,PASCO,FL,33525,9/8/17 19:00,,426,0,,,,
MIKE FASANO REGIONAL HURRICANE SHELTER,78476,,41418,,Open,ARC Managed,11611 Denton Ave,HUDSON,PASCO,FL,34667,9/8/17 19:00,,442,391,,,,
Mike Fasano Regional Center Special Needs,136117,,41418,,Open,Independent,11611 Denton Ave,HUDSON,PASCO,FL,34667,9/9/17 0:00,,166,0,,,,
FIVAY HIGH SCHOOL,155344,,41418,,Open,ARC Managed,12115 CHICAGO AVE,HUDSON,PASCO,FL,34669,9/8/17 19:00,,3157,0,,,,
SUNLAKE HIGH SCHOOL,66851,,41418,,Open,ARC Managed,3023 Sun Lake Blvd,LAND O LAKES,PASCO,FL,34638,9/8/17 19:00,,2961,0,,,,
LONGLEAF ELEMENTARY SCHOOL,15038,,41418,,Open,ARC Managed,3253 TOWN AVE,NEW PORT RICHEY,PASCO,FL,34655,9/8/17 19:00,,783,0,,,,
TRINITY ELEMENTARY SCHOOL,15052,,41418,,Open,ARC Managed,2209 DUCK SLOUGH BLVD,NEW PORT RICHEY,PASCO,FL,34655,9/8/17 19:00,,683,0,,,,
RIVER RIDGE MS/HS General Population,75237,,41418,,Open,ARC Managed,11646 Town Center Rd,NEW PORT RICHEY,PASCO,FL,34654,9/8/17 19:00,,2000,0,,,,
ODESSA ELEMENTARY SCHOOL,139228,,41418,,Open,ARC Managed,12810 Interlaken Rd,NEW PORT RICHEY,PASCO,FL,34655,9/8/17 19:00,,1469,0,,,,
WESLEY CHAPEL HIGH SCHOOL,15713,,41418,,Open,ARC Managed,30651 WELLS RD,WESLEY CHAPEL,PASCO,FL,33544,9/8/17 19:00,,1903,0,,,,
THOMAS E WEIGHTMAN MIDDLE SCHOOL,19616,,41418,,Open,ARC Managed,30649 WELLS RD,WESLEY CHAPEL,PASCO,FL,33544,9/8/17 19:00,,1655,0,,,,
WIREGRASS RANCH HIGH SCHOOL,56761,,41418,,Open,ARC Managed,"2909 Mansfield Blvd,",WESLEY CHAPEL,PASCO,FL,33543,9/9/17 22:00,,1890,0,,,,
NEW RIVER ELEMENTARY SCHOOL,68764,,41418,,Open,ARC Managed,4710 River Glen Blvd,WESLEY CHAPEL,PASCO,FL,33544,9/8/17 19:00,,816,0,,,,
Wesley Chapel High School Special Needs,70135,,41418,,Open,Independent,30651 Wells Road,WESLEY CHAPEL,PASCO,FL,33545,9/9/17 22:00,,50,0,,,,
Wiregrass Ranch High School Special Needs,75238,,41418,,Open,Independent,2909 Mansfield Blvd,WESLEY CHAPEL,PASCO,FL,33543,9/8/17 19:00,,800,0,,,,
RAYMOND B. STEWART MIDDLE SCHOOL,68754,,41418,,Open,ARC Managed,"38505 10th Ave,",ZEPHYRHILLS,PASCO,FL,33542,9/8/17 19:00,,716,0,,,,
